episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef,clip_range
8960,444907,0.23,0.23,9.69,100.0,0.0033263949999999994,0.12
8970,445377,0.21,0.21,9.61,100.0,0.0033193449999999987,0.12
8980,445869,0.21,0.21,9.6,100.0,0.003311965,0.12
8990,446369,0.18,0.18,9.38,100.0,0.0033044649999999995,0.12
9000,446838,0.19,0.19,9.27,100.0,0.0032974299999999996,0.12
9010,447300,0.17,0.17,9.27,100.0,0.003290499999999999,0.12
9020,447754,0.18,0.18,9.23,100.0,0.0032836899999999997,0.12
9030,448232,0.18,0.18,9.39,100.0,0.003276519999999999,0.12
9040,448715,0.21,0.21,9.58,100.0,0.0032692749999999994,0.12
9050,449172,0.19,0.19,9.58,100.0,0.0032624200000000003,0.12
9060,449628,0.17,0.17,9.51,100.0,0.0032555799999999992,0.12
9070,450118,0.18,0.18,9.4,100.0,0.0032482299999999995,0.12
9080,450618,0.16,0.16,9.57,100.0,0.00324073,0.12
9090,451085,0.19,0.19,8.79,100.0,0.003233725,0.12
9100,451568,0.2,0.2,8.81,100.0,0.0032264799999999995,0.12
9110,452051,0.22,0.22,8.7,100.0,0.003219235,0.12
9120,452535,0.21,0.21,8.71,100.0,0.003211974999999999,0.12
9130,453021,0.23,0.23,8.62,100.0,0.0032046849999999997,0.12
9140,453507,0.21,0.21,8.6,100.0,0.0031973949999999996,0.12
9150,453981,0.22,0.22,8.66,100.0,0.003190285,0.12
9160,454453,0.22,0.22,8.94,100.0,0.0031832049999999997,0.12
9170,454950,0.22,0.22,8.8,100.0,0.0031757499999999998,0.12
9180,455413,0.21,0.21,8.8,100.0,0.0031688049999999994,0.12
9190,455890,0.18,0.18,9.04,100.0,0.0031616499999999994,0.12
9200,456374,0.16,0.16,9.29,100.0,0.00315439,0.12
9210,456833,0.15,0.15,9.28,100.0,0.0031475049999999992,0.12
