episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef
390,19500,0.29,0.29,24.17,99.99,0.009617488336092802
400,20000,0.3,0.3,23.99,100.0,0.009607875174472565
410,20500,0.27,0.27,23.99,100.0,0.00959827162168918
420,21000,0.28,0.28,23.96,100.0,0.00958867766813813
430,21500,0.26,0.26,23.81,100.0,0.0095790933042245
440,22000,0.27,0.27,23.69,100.0,0.009569518520362976
450,22500,0.3,0.3,23.35,100.0,0.009559953306977807
460,23000,0.28,0.28,23.17,100.0,0.009550397654502822
470,23500,0.29,0.29,23.11,100.0,0.009540851553381417
480,24000,0.28,0.28,23.5,100.0,0.009531314994066535
490,24500,0.31,0.31,24.58,100.0,0.00952178796702066
500,25000,0.31,0.31,24.76,100.0,0.009512270462715812
510,25500,0.33,0.33,24.92,100.0,0.009502762471633532
520,26000,0.34,0.34,24.96,100.0,0.00949326398426488
530,26500,0.34,0.34,24.94,100.0,0.009483774991110418
540,27000,0.35,0.35,24.73,100.0,0.0094742954826802
550,27500,0.35,0.35,24.38,100.0,0.009464825449493772
560,28000,0.36,0.36,24.42,100.0,0.00945536488208015
570,28500,0.37,0.37,24.6,100.0,0.009445913770977825
580,29000,0.36,0.36,24.56,100.0,0.009436472106734735
590,29500,0.34,0.34,24.72,100.0,0.009427039879908271
600,30000,0.34,0.34,24.71,100.0,0.009417617081065264
610,30500,0.36,0.36,24.81,100.0,0.00940820370078197
620,31000,0.35,0.35,24.43,100.0,0.009398799729644067
630,31500,0.37,0.37,24.62,100.0,0.009389405158246643
640,32000,0.39,0.39,24.2,100.0,0.009380019977194187
650,32500,0.39,0.39,24.34,100.0,0.00937064417710058
660,33000,0.39,0.39,24.05,100.0,0.009361277748589079
670,33500,0.39,0.39,23.78,100.0,0.009351920682292323
680,34000,0.42,0.42,23.78,100.0,0.009342572968852304
690,34500,0.43,0.43,23.85,100.0,0.00933323459892038
700,35000,0.43,0.43,24.22,100.0,0.009323905563157238
710,35500,0.41,0.41,24.56,100.0,0.009314585852232911
720,36000,0.4,0.4,24.38,100.0,0.009305275456826759
730,36500,0.4,0.4,24.23,100.0,0.00929597436762745
740,37000,0.41,0.41,24.59,100.0,0.009286682575332965
750,37500,0.39,0.39,24.56,100.0,0.009277400070650586
760,38000,0.37,0.37,24.79,100.0,0.009268126844296875
770,38500,0.35,0.35,24.31,100.0,0.009258862886997676
780,39000,0.31,0.31,24.22,100.0,0.009249608189488109
790,39500,0.32,0.32,23.8,100.0,0.009240362742512548
800,40000,0.32,0.32,23.72,100.0,0.009231126536824622
810,40500,0.39,0.39,22.8,100.0,0.009221899563187195
820,41000,0.39,0.39,22.85,100.0,0.00921268181237238
830,41500,0.37,0.37,23.09,100.0,0.009203473275161498
840,42000,0.33,0.33,23.28,100.0,0.009194273942345088
850,42500,0.34,0.34,23.08,100.0,0.009185083804722898
860,43000,0.37,0.37,22.64,100.0,0.009175902853103872
870,43500,0.37,0.37,22.67,100.0,0.009166731078306137
880,44000,0.37,0.37,22.62,100.0,0.009157568471157
890,44500,0.34,0.34,22.48,100.0,0.009148415022492942
900,45000,0.35,0.35,22.48,100.0,0.009139270723159591
910,45500,0.28,0.28,22.67,100.0,0.009130135564011736
920,46000,0.28,0.28,22.27,100.0,0.009121009535913306
930,46500,0.32,0.32,21.95,100.0,0.009111892629737356
940,47000,0.35,0.35,21.88,100.0,0.009102784836366064
950,47500,0.35,0.35,21.93,100.0,0.009093686146690731
960,48000,0.33,0.33,22.08,100.0,0.009084596551611753
970,48500,0.34,0.34,21.98,100.0,0.00907551604203863
980,49000,0.36,0.36,22.14,100.0,0.00906644460888994
990,49500,0.36,0.36,21.84,100.0,0.009057382243093342
1000,50000,0.38,0.38,21.44,100.0,0.009048328935585565
