episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef
3780,188966,0.33,0.33,16.42,100.0,0.007153261037411473
3790,189466,0.33,0.33,16.65,100.0,0.007153261037411473
3800,189966,0.31,0.31,16.11,100.0,0.007153261037411473
3810,190466,0.32,0.32,15.9,100.0,0.007153261037411473
3820,190966,0.32,0.32,15.69,100.0,0.007153261037411473
3830,191466,0.3,0.3,15.8,100.0,0.007153261037411473
3840,191966,0.28,0.28,15.67,100.0,0.007153261037411473
3850,192458,0.29,0.29,15.37,100.0,0.007153261037411473
3860,192958,0.3,0.3,15.53,100.0,0.007153261037411473
3870,193458,0.33,0.33,15.76,100.0,0.007153261037411473
3880,193956,0.35,0.35,15.61,100.0,0.007153261037411473
3890,194456,0.37,0.37,15.32,100.0,0.007153261037411473
3900,194956,0.4,0.4,15.3,100.0,0.007153261037411473
3910,195456,0.37,0.37,15.37,100.0,0.007153261037411473
3920,195956,0.37,0.37,15.43,100.0,0.007153261037411473
3930,196455,0.4,0.4,15.85,100.0,0.007153261037411473
3940,196955,0.43,0.43,16.11,100.0,0.007153261037411473
3950,197446,0.47,0.47,16.02,100.0,0.007153261037411473
3960,197946,0.46,0.46,16.53,100.0,0.007153261037411473
3970,198446,0.43,0.43,16.49,100.0,0.007153261037411473
3980,198946,0.42,0.42,16.0,100.0,0.007153261037411473
3990,199446,0.43,0.43,15.96,100.0,0.007153261037411473
4000,199941,0.42,0.42,15.98,100.0,0.007153261037411473
4010,200441,0.47,0.47,15.77,100.0,0.007153261037411473
4020,200941,0.48,0.48,16.11,100.0,0.007153261037411473
4030,201441,0.49,0.49,15.84,100.0,0.007153261037411473
4040,201936,0.49,0.49,15.54,100.0,0.007153261037411473
4050,202436,0.46,0.46,15.93,100.0,0.007153261037411473
4060,202936,0.42,0.42,16.14,100.0,0.007153261037411473
4070,203436,0.44,0.44,16.44,100.0,0.007153261037411473
4080,203936,0.43,0.43,16.68,100.0,0.007153261037411473
4090,204436,0.39,0.39,16.68,100.0,0.007153261037411473
4100,204933,0.36,0.36,16.65,100.0,0.007153261037411473
4110,205433,0.31,0.31,16.93,100.0,0.007153261037411473
4120,205933,0.32,0.32,17.15,100.0,0.007153261037411473
4130,206433,0.3,0.3,17.29,100.0,0.007153261037411473
4140,206933,0.34,0.34,17.46,100.0,0.007153261037411473
4150,207433,0.33,0.33,17.33,100.0,0.007153261037411473
4160,207931,0.32,0.32,17.33,100.0,0.007153261037411473
4170,208431,0.31,0.31,17.67,100.0,0.007153261037411473
4180,208931,0.33,0.33,18.1,100.0,0.007153261037411473
4190,209425,0.35,0.35,18.11,100.0,0.007153261037411473
4200,209925,0.36,0.36,17.98,100.0,0.007153261037411473
4210,210425,0.4,0.4,17.7,100.0,0.007153261037411473
4220,210925,0.38,0.38,17.18,100.0,0.007153261037411473
4230,211425,0.37,0.37,17.06,100.0,0.007153261037411473
4240,211924,0.3,0.3,16.98,100.0,0.007153261037411473
4250,212424,0.33,0.33,16.9,100.0,0.007153261037411473
4260,212924,0.36,0.36,17.09,100.0,0.007153261037411473
4270,213424,0.39,0.39,17.29,100.0,0.007153261037411473
4280,213924,0.4,0.4,17.33,100.0,0.007153261037411473
4290,214424,0.4,0.4,17.17,100.0,0.007153261037411473
4300,214924,0.41,0.41,17.49,100.0,0.007153261037411473
4310,215424,0.41,0.41,17.3,100.0,0.007153261037411473
4320,215924,0.41,0.41,17.22,100.0,0.007153261037411473
4330,216424,0.4,0.4,17.36,100.0,0.007153261037411473
