episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef,clip_range
8880,442250,0.26,0.26,12.28,100.0,0.009601975,0.19778875
8890,442750,0.23,0.23,12.31,100.0,0.009601525,0.19778625
8900,443236,0.21,0.21,12.17,100.0,0.0096010876,0.19778382
8910,443734,0.23,0.23,12.2,100.0,0.0096006394,0.19778133
8920,444223,0.22,0.22,12.28,100.0,0.0096001993,0.19777888500000002
8930,444720,0.24,0.24,12.32,100.0,0.009599752,0.19777640000000002
8940,445220,0.25,0.25,12.29,100.0,0.009599302,0.1977739
8950,445720,0.26,0.26,12.3,100.0,0.009598852,0.1977714
8960,446203,0.23,0.23,12.43,100.0,0.0095984173,0.197768985
8970,446703,0.2,0.2,12.43,100.0,0.0095979673,0.19776648500000002
8980,447203,0.23,0.23,12.53,100.0,0.0095975173,0.197763985
8990,447703,0.24,0.24,12.56,100.0,0.0095970673,0.19776148500000001
9000,448203,0.22,0.22,12.56,100.0,0.0095966173,0.197758985
9010,448703,0.22,0.22,12.52,100.0,0.0095961673,0.197756485
9020,449203,0.21,0.21,12.56,100.0,0.0095957173,0.19775398500000002
9030,449703,0.2,0.2,12.31,100.0,0.0095952673,0.197751485
9040,450203,0.23,0.23,12.36,100.0,0.0095948173,0.19774898500000002
9050,450703,0.24,0.24,12.33,100.0,0.0095943673,0.197746485
9060,451196,0.26,0.26,12.67,100.0,0.0095939236,0.19774402000000002
9070,451681,0.29,0.29,12.39,100.0,0.0095934871,0.19774159500000002
9080,452181,0.28,0.28,12.75,100.0,0.0095930371,0.197739095
9090,452681,0.3,0.3,12.67,100.0,0.009592587100000001,0.19773659500000001
9100,453181,0.33,0.33,13.03,100.0,0.0095921371,0.197734095
9110,453664,0.33,0.33,13.3,100.0,0.0095917024,0.19773168000000002
9120,454156,0.34,0.34,13.53,100.0,0.0095912596,0.19772922
9130,454656,0.32,0.32,13.25,100.0,0.0095908096,0.19772672000000002
9140,455154,0.29,0.29,13.3,100.0,0.0095903614,0.19772423
9150,455650,0.29,0.29,13.11,100.0,0.009589915000000001,0.19772175
9160,456138,0.26,0.26,12.96,100.0,0.0095894758,0.19771931
9170,456638,0.25,0.25,12.83,100.0,0.0095890258,0.19771681000000002
