episode,global_step,avg_reward,avg_deliveries,avg_ttfd,buffer_size,entropy_coef
10550,524464,0.41,0.41,10.57,100.0,0.0029121271685154
10560,524948,0.4,0.4,10.73,100.0,0.002905586146728512
10570,525435,0.41,0.41,11.02,100.0,0.0028990045814181516
10580,525923,0.37,0.37,10.81,100.0,0.0028924095015999667
10590,526388,0.37,0.37,10.88,100.0,0.0028861252554617375
10600,526888,0.37,0.37,10.87,100.0,0.0028793680015496634
10610,527372,0.33,0.33,10.87,100.0,0.0028728269797627754
10620,527862,0.34,0.34,10.87,100.0,0.0028662048709289416
10630,528326,0.32,0.32,10.89,100.0,0.002859934139298537
10640,528807,0.35,0.35,11.11,100.0,0.0028534336610351206
10650,529307,0.34,0.34,11.9,100.0,0.0028466764071230465
10660,529803,0.39,0.39,12.35,100.0,0.0028399732112422684
10670,530291,0.36,0.36,12.35,100.0,0.0028333781314240827
10680,530791,0.36,0.36,12.58,100.0,0.0028266208775120085
10690,531291,0.36,0.36,12.62,100.0,0.0028198636235999344
10700,531777,0.36,0.36,12.63,100.0,0.0028132955727973976
10710,532262,0.39,0.39,12.73,100.0,0.002806741036502685
10720,532721,0.35,0.35,12.8,100.0,0.002800537877411401
10730,533221,0.36,0.36,12.87,100.0,0.002793780623499326
10740,533711,0.35,0.35,13.1,100.0,0.002787158514665492
10750,534203,0.33,0.33,12.85,100.0,0.002780509376816012
10760,534689,0.28,0.28,12.81,100.0,0.002773941326013475
10770,535186,0.31,0.31,12.87,100.0,0.0027672246156248727
10780,535686,0.34,0.34,12.85,100.0,0.0027604673617127977
10790,536180,0.36,0.36,12.61,100.0,0.0027537911948476686
10800,536676,0.37,0.37,12.54,100.0,0.0027470879989668897
10810,537159,0.39,0.39,12.35,100.0,0.0027405604916878263
10820,537648,0.43,0.43,12.56,100.0,0.0027339518973618178
10830,538142,0.43,0.43,12.97,100.0,0.002727275730496687
10840,538626,0.4,0.4,13.02,100.0,0.002720734708709799
10850,539118,0.37,0.37,13.24,100.0,0.002714085570860318
10860,539600,0.41,0.41,12.91,100.0,0.002707571578089078
10870,540097,0.44,0.44,12.48,100.0,0.0027008548677004756
10880,540583,0.41,0.41,12.51,100.0,0.0026942868168979388
10890,541065,0.42,0.42,13.1,100.0,0.0026877728241266998
10900,541543,0.43,0.43,12.99,100.0,0.002681312889386756
10910,542043,0.43,0.43,12.74,100.0,0.002674555635474681
10920,542541,0.42,0.42,12.89,100.0,0.002667825410578255
10930,543029,0.41,0.41,12.73,100.0,0.00266123033076007
